tweets_Barcelona__Spain_19,foursquare_Barcelona__Spain_05,foursquare_Barcelona__Spain_10,foursquare_Barcelona__Spain_15,foursquare_Barcelona__Spain_24,foursquare_Barcelona__Spain_33,foursquare_Barcelona__Spain_35,foursquare_Barcelona__Spain_38,foursquare_Barcelona__Spain_39,foursquare_Barcelona__Spain_09
tweetsAVlkVnzKMcVkNEbRoCfX,fsq_AVnXrpCo9Rk57rBJYOXW,fsq_AVnZ6drF9Rk57rBJYnMu,fsq_AVnYLZK_9Rk57rBJYYZk,fsq_AVnZkL-S9Rk57rBJYk9A,fsq_AVnW5nN09Rk57rBJYFTT,fsq_AVnbzgLx9Rk57rBJYt_a,fsq_AVnW4Pzh9Rk57rBJYEva,fsq_AVlkIuQgUKUEY4dTmaWu,fsq_AVnXX5UG9Rk57rBJYK-4
tweetsAVkuIu_IMcVkNEbRksnY,fsq_AVnYF7iC9Rk57rBJYUw9,fsq_AVnWleeD9Rk57rBJYB8n,fsq_AVnXxUnD9Rk57rBJYQ29,fsq_AVnYMGyx9Rk57rBJYYnO,fsq_AVnW5nN09Rk57rBJYFTT,fsq_AVnZK4P49Rk57rBJYiMI,fsq_AVnW4Pzh9Rk57rBJYEva,fsq_AVnWnwVI9Rk57rBJYDV7,fsq_AVnWl63g9Rk57rBJYCdT
tweetsAVkuI0MpMcVkNEbRks2d,fsq_AVnYge429Rk57rBJYcog,fsq_AVnZ6drF9Rk57rBJYnMu,fsq_AVnYLZK_9Rk57rBJYYZk,fsq_AVnW5nTF9Rk57rBJYFVB,fsq_AVnZ5mKn9Rk57rBJYnIN,fsq_AVlkL5UoUKUEY4dTmcvq,fsq_AVnWlqEx9Rk57rBJYCLQ,fsq_AVnXTjzQ9Rk57rBJYIwq,fsq_AVnXTk529Rk57rBJYI0V
tweetsAVl63foLMcVkNEbRrRLQ,fsq_AVnYgl-l9Rk57rBJYcrZ,fsq_AVnWleeD9Rk57rBJYB8n,fsq_AVlkLF6aUKUEY4dTmcQG,fsq_AVnXxUtr9Rk57rBJYQ5k,fsq_AVnZ5mKn9Rk57rBJYnIN,fsq_AVnW5uw99Rk57rBJYFib,fsq_AVnXUR1D9Rk57rBJYJYN,fsq_AVnZhkL09Rk57rBJYkot,fsq_AVnXPHFF9Rk57rBJYHmp
tweetsAVl63foLMcVkNEbRrRKn,fsq_AVnW8H_h9Rk57rBJYGRy,fsq_AVnZkL_Z9Rk57rBJYk9g,fsq_AVlkWLSFUKUEY4dTmmVO,fsq_AVnXYQ5s9Rk57rBJYLhd,fsq_AVnWhPQM9Rk57rBJYA-c,fsq_AVnW5uw99Rk57rBJYFib,fsq_AVnWlqEx9Rk57rBJYCLQ,fsq_AVlkIuP7UKUEY4dTmaWo,fsq_AVnW2XIl9Rk57rBJYD5t
tweetsAVmYhCpVMcVkNEbRtNJT,fsq_AVnYeBd19Rk57rBJYbaF,fsq_AVlkFLWuUKUEY4dTmSNA,fsq_AVnaYHH_9Rk57rBJYrGC,fsq_AVlkOw5vUKUEY4dTmfnd,fsq_AVnWhPQM9Rk57rBJYA-c,fsq_AVnZK4Pz9Rk57rBJYiMH,fsq_AVnXUR1D9Rk57rBJYJYN,fsq_AVnZhkL09Rk57rBJYkot,fsq_AVnWl6299Rk57rBJYCdD
tweetsAVmYhCpVMcVkNEbRtNI-,fsq_AVnW9PNf9Rk57rBJYGsd,fsq_AVnZkL_Z9Rk57rBJYk9g,fsq_AVnaYHH_9Rk57rBJYrGC,fsq_AVnZkMNV9Rk57rBJYlAV,fsq_AVnXYZkJ9Rk57rBJYLk9,fsq_AVnbzgLx9Rk57rBJYt_a,fsq_AVnXv6GE9Rk57rBJYQBY,fsq_AVnY5M3b9Rk57rBJYhDW,fsq_AVnW95am9Rk57rBJYG63
tweetsAVnqoT5fMcVkNEbR2Fr-,fsq_AVnW8H_h9Rk57rBJYGRy,fsq_AVnWiNJ39Rk57rBJYBCu,fsq_AVlkdM67UKUEY4dTmt3W,fsq_AVnXxUtr9Rk57rBJYQ5k,fsq_AVnXYZkJ9Rk57rBJYLk9,fsq_AVnZK4P49Rk57rBJYiMI,fsq_AVnXv6GE9Rk57rBJYQBY,fsq_AVnXwW-M9Rk57rBJYQM1,fsq_AVnW2XIl9Rk57rBJYD5t
tweetsAVmYhCqFMcVkNEbRtNRQ,fsq_AVnY49zw9Rk57rBJYg7l,fsq_AVnWiNJ39Rk57rBJYBCu,fsq_AVnWn9719Rk57rBJYDav,fsq_AVnY3dHr9Rk57rBJYgga,fsq_AVlkEXU7UKUEY4dTmQwM,fsq_AVnW4mch9Rk57rBJYE08,fsq_AVlkPTL9UKUEY4dTmgI4,fsq_AVnXTjzQ9Rk57rBJYIwq,fsq_AVnYF7iV9Rk57rBJYUxG
tweetsAVnqoTT8McVkNEbR2FZW,fsq_AVnYgl-l9Rk57rBJYcrZ,fsq_AVlkEWFAUKUEY4dTmQru,fsq_AVlkFH0NUKUEY4dTmSK1,fsq_AVlkDjUXUKUEY4dTmN9C,fsq_AVnW7gMN9Rk57rBJYF-l,fsq_AVnXvJmU9Rk57rBJYPhX,fsq_AVlkEX1zUKUEY4dTmQzC,fsq_AVlkEluaUKUEY4dTmRO7,fsq_AVnWl63g9Rk57rBJYCdT
tweetsAVmYhCqFMcVkNEbRtNQP,fsq_AVnW7DUU9Rk57rBJYF5O,fsq_AVnXUAho9Rk57rBJYJDT,fsq_AVnWn9719Rk57rBJYDav,fsq_AVnY3dHr9Rk57rBJYgga,fsq_AVnW7gMN9Rk57rBJYF-l,fsq_AVnXa8rL9Rk57rBJYMyg,fsq_AVnYC_BH9Rk57rBJYSsH,fsq_AVlkIrWlUKUEY4dTmaSi,fsq_AVnXxD_c9Rk57rBJYQrw
tweetsAVmYhCqFMcVkNEbRtNRO,fsq_AVnW7DUU9Rk57rBJYF5O,fsq_AVnXUAho9Rk57rBJYJDT,fsq_AVnY2WP09Rk57rBJYf5b,fsq_AVnXYQ5s9Rk57rBJYLhd,fsq_AVnW2XID9Rk57rBJYD5j,fsq_AVnXa8rL9Rk57rBJYMyg,fsq_AVnYC_BH9Rk57rBJYSsH,fsq_AVlkEoYHUKUEY4dTmRVx,fsq_AVnXxD_g9Rk57rBJYQrx
tweetsAVnqoThnMcVkNEbR2Fk_,fsq_AVnZ-6Dc9Rk57rBJYoOM,fsq_AVnXcl9e9Rk57rBJYNho,fsq_AVnY2WP09Rk57rBJYf5b,fsq_AVnZkL-S9Rk57rBJYk9A,fsq_AVnWmIOg9Rk57rBJYCjt,fsq_AVlkEAFzUKUEY4dTmPt4,fsq_AVnW377F9Rk57rBJYEYN,fsq_AVnXTjzc9Rk57rBJYIwu,fsq_AVnW54iA9Rk57rBJYFrT
tweetsAVm8wzGwMcVkNEbRxvls,fsq_AVnXTa0l9Rk57rBJYIsS,fsq_AVnXcl9e9Rk57rBJYNho,fsq_AVlkc_5YUKUEY4dTmtdA,fsq_AVnYMGyx9Rk57rBJYYnO,fsq_AVnW2XID9Rk57rBJYD5j,fsq_AVnXvJmU9Rk57rBJYPhX,fsq_AVnXX2c09Rk57rBJYKyh,fsq_AVnWnwVI9Rk57rBJYDV7,fsq_AVnXxD_A9Rk57rBJYQrj
