tweets_Berlin__Germany_08,tweets_Berlin__Germany_42,foursquare_Berlin__Germany_04,foursquare_Berlin__Germany_07,foursquare_Berlin__Germany_08,foursquare_Berlin__Germany_10,foursquare_Berlin__Germany_11,foursquare_Berlin__Germany_40,foursquare_Berlin__Germany_43,foursquare_Berlin__Germany_50
tweetsAVnqndX5McVkNEbR2DoP,tweetsAVnqug3vMcVkNEbR2Ynn,fsq_AVlke2XOUKUEY4dTmvG2,fsq_AVlkVb_dUKUEY4dTmljT,fsq_AVlkh7ZDUKUEY4dTmyH2,fsq_AVlkf17-UKUEY4dTmv8P,fsq_AVlkenktUKUEY4dTmu87,fsq_AVlkZOe6UKUEY4dTmpoa,fsq_AVlkFcC9UKUEY4dTmSw4,fsq_AVlkNRf-UKUEY4dTmd9z
tweetsAVl64NldMcVkNEbRrRy7,tweetsAVlTcMSyMcVkNEbRnpsa,fsq_AVlka41bUKUEY4dTmrma,fsq_AVlkdU7pUKUEY4dTmuAl,fsq_AVlkhdSMUKUEY4dTmxdX,fsq_AVlkPv9qUKUEY4dTmg6C,fsq_AVlkgFKxUKUEY4dTmwHz,fsq_AVlkhM55UKUEY4dTmxPy,fsq_AVlkf22aUKUEY4dTmv9i,fsq_AVlkfRAOUKUEY4dTmvUE
tweetsAVmYhgGpMcVkNEbRtOOQ,tweetsAVm8383gMcVkNEbRx6tU,fsq_AVlkhrdKUKUEY4dTmxyT,fsq_AVlkgmFyUKUEY4dTmwzJ,fsq_AVlkdu2aUKUEY4dTmuOt,fsq_AVlkPxsVUKUEY4dTmg8M,fsq_AVlkiQnwUKUEY4dTmyl8,fsq_AVlkmCrIUKUEY4dTm1oy,fsq_AVlkM_xQUKUEY4dTmdz6,fsq_AVlkgB2fUKUEY4dTmwFk
tweetsAVl64dppMcVkNEbRrR4U,tweetsAVlTb9CXMcVkNEbRnpoz,fsq_AVlkhrXjUKUEY4dTmxyK,fsq_AVlkYBpIUKUEY4dTmoTJ,fsq_AVlkGVigUKUEY4dTmWMq,fsq_AVlkGg2VUKUEY4dTmW6S,fsq_AVlkhKcmUKUEY4dTmxNk,fsq_AVlkglcyUKUEY4dTmwyL,fsq_AVlkNAWZUKUEY4dTmd1H,fsq_AVlkgB2fUKUEY4dTmwFk
tweetsAVmYhgHBMcVkNEbRtOVV,tweetsAVm84PJ_McVkNEbRx7TT,fsq_AVlkGaphUKUEY4dTmWgr,fsq_AVlkV7PyUKUEY4dTmmCC,fsq_AVlkchsmUKUEY4dTmtC5,fsq_AVlkdzGgUKUEY4dTmuU2,fsq_AVlkcQhrUKUEY4dTms1o,fsq_AVlkGI1gUKUEY4dTmVmd,fsq_AVlkFiOKUKUEY4dTmTH5,fsq_AVlkgB3VUKUEY4dTmwFq
tweetsAVnqndjAMcVkNEbR2Dt_,tweetsAVm839OAMcVkNEbRx63D,fsq_AVlkcwnGUKUEY4dTmtUy,fsq_AVlkF0MbUKUEY4dTmURH,fsq_AVlkchqPUKUEY4dTmtCh,fsq_AVlkGg1oUKUEY4dTmW6L,fsq_AVlkXZq5UKUEY4dTmnfU,fsq_AVlkgIs3UKUEY4dTmwNB,fsq_AVlkdV5DUKUEY4dTmuCm,fsq_AVlkcA1zUKUEY4dTmsrl
tweetsAVnqnVJHMcVkNEbR2Dam,tweetsAVl6_nSdMcVkNEbRrX6t,fsq_AVlkczhiUKUEY4dTmtW7,fsq_AVlkGKzUUKUEY4dTmVvd,fsq_AVlkbYzrUKUEY4dTmr_0,fsq_AVlkez1zUKUEY4dTmvDZ,fsq_AVlkco5wUKUEY4dTmtPf,fsq_AVlkTDWXUKUEY4dTmj1P,fsq_AVlkGfSpUKUEY4dTmW3b,fsq_AVlkZr64UKUEY4dTmqV4
tweetsAVmYhgHAMcVkNEbRtOQv,tweetsAVlk9o2kMcVkNEbRpFjH,fsq_AVlkZqbQUKUEY4dTmqUi,fsq_AVlkPvUbUKUEY4dTmg3W,fsq_AVlkeLfdUKUEY4dTmukI,fsq_AVlkiN9jUKUEY4dTmyit,fsq_AVlkFgDJUKUEY4dTmS-h,fsq_AVlkc9A2UKUEY4dTmtZh,fsq_AVlkiY2AUKUEY4dTmyrj,fsq_AVlkGjmRUKUEY4dTmXJK
tweetsAVmYhgHAMcVkNEbRtOS7,tweetsAVnquhIkMcVkNEbR2Yyu,fsq_AVlkhsAlUKUEY4dTmx0-,fsq_AVlkYDLqUKUEY4dTmoVW,fsq_AVlkgGr6UKUEY4dTmwIy,fsq_AVlkQoCSUKUEY4dTmhrc,fsq_AVlkXrHfUKUEY4dTmn02,fsq_AVlkhKDRUKUEY4dTmxM1,fsq_AVlkNAWZUKUEY4dTmd1H,fsq_AVlkGbQkUKUEY4dTmWjU
tweetsAVnqndSxMcVkNEbR2Df3,tweetsAVlk9drXMcVkNEbRpFe0,fsq_AVlki9xWUKUEY4dTmzG_,fsq_AVlkGHm1UKUEY4dTmVfw,fsq_AVlkgmvTUKUEY4dTmwzz,fsq_AVlkfyXLUKUEY4dTmv0d,fsq_AVlkbYs_UKUEY4dTmr_S,fsq_AVlkX6WjUKUEY4dTmoHc,fsq_AVlkGfTBUKUEY4dTmW3e,fsq_AVlkgvBqUKUEY4dTmw7L
tweetsAVm8xCDUMcVkNEbRxwAH,tweetsAVmYow0sMcVkNEbRtb6s,fsq_AVlkhq4YUKUEY4dTmxu3,fsq_AVlkXzFqUKUEY4dTmn-Q,fsq_AVlkh9BuUKUEY4dTmyJB,fsq_AVlkhCFbUKUEY4dTmxIG,fsq_AVlkhiO0UKUEY4dTmxk6,fsq_AVlkh3hAUKUEY4dTmyCz,fsq_AVlkGfSHUKUEY4dTmW3Y,fsq_AVlkgBE0UKUEY4dTmwEf
tweetsAVnqnNU9McVkNEbR2C7T,tweetsAVnquhJpMcVkNEbR2Y6S,fsq_AVlkhq_4UKUEY4dTmxvs,fsq_AVlkV5bdUKUEY4dTml-r,fsq_AVlkbG0GUKUEY4dTmrsc,fsq_AVlkf175UKUEY4dTmv8O,fsq_AVlkbYthUKUEY4dTmr_W,fsq_AVlkI98uUKUEY4dTmar-,fsq_AVlkKUJLUKUEY4dTmbv3,fsq_AVlkX_PwUKUEY4dTmoM0
tweetsAVl64dpqMcVkNEbRrR5g,tweetsAVlk9o2lMcVkNEbRpFnU,fsq_AVlkGrs8UKUEY4dTmXjS,fsq_AVlkTNAnUKUEY4dTmkCV,fsq_AVlkdZcIUKUEY4dTmuIt,fsq_AVlkF1TvUKUEY4dTmUXB,fsq_AVlkFgdfUKUEY4dTmTAV,fsq_AVlkhq3XUKUEY4dTmxuu,fsq_AVlkhJNRUKUEY4dTmxMJ,fsq_AVlkX_PdUKUEY4dTmoMz
tweetsAVlk2u-HMcVkNEbRo76t,tweetsAVnqug1KMcVkNEbR2Yeb,fsq_AVlkhrh9UKUEY4dTmxyz,fsq_AVlkHp1GUKUEY4dTmZBK,fsq_AVlkTJjbUKUEY4dTmj8V,fsq_AVlkhIhPUKUEY4dTmxLP,fsq_AVlkiRkNUKUEY4dTmynQ,fsq_AVlkHm8VUKUEY4dTmY-x,fsq_AVlkdV5OUKUEY4dTmuCo,fsq_AVlkgBHEUKUEY4dTmwE2
tweetsAVmYhgHBMcVkNEbRtOTH,tweetsAVkuQDdsMcVkNEbRk5Nj,fsq_AVlkhsivUKUEY4dTmx2d,fsq_AVlkTDUhUKUEY4dTmj1J,fsq_AVlkVynuUKUEY4dTml2H,fsq_AVlkhefQUKUEY4dTmxgN,fsq_AVlkZvDBUKUEY4dTmqZk,fsq_AVlkSjQhUKUEY4dTmjKk,fsq_AVlkGfSbUKUEY4dTmW3a,fsq_AVlkbTpcUKUEY4dTmr1i
tweetsAVnqnVC6McVkNEbR2DMo,tweetsAVnqug3vMcVkNEbR2YoQ,fsq_AVlkdhBpUKUEY4dTmuLT,fsq_AVlkchw7UKUEY4dTmtDk,fsq_AVlki6OLUKUEY4dTmzDn,fsq_AVlkV7KvUKUEY4dTmmBy,fsq_AVlkFb0uUKUEY4dTmSvL,fsq_AVlkTGdcUKUEY4dTmj4S,fsq_AVlkNAWZUKUEY4dTmd1H,fsq_AVlkdferUKUEY4dTmuLB
tweetsAVm8xCDTMcVkNEbRxv7d,tweetsAVm839OAMcVkNEbRx623,fsq_AVlkV581UKUEY4dTmmAJ,fsq_AVlkQAAWUKUEY4dTmhJu,fsq_AVlkTJzGUKUEY4dTmj87,fsq_AVlkezhMUKUEY4dTmvCO,fsq_AVlkGIvpUKUEY4dTmVl2,fsq_AVlkXWPQUKUEY4dTmncL,fsq_AVlkKT9-UKUEY4dTmbvt,fsq_AVlkYAqzUKUEY4dTmoPM
tweetsAVl64dppMcVkNEbRrR4g,tweetsAVm84OwdMcVkNEbRx7Gp,fsq_AVlkh7EIUKUEY4dTmyG1,fsq_AVlkSh9iUKUEY4dTmjJZ,fsq_AVlkchr2UKUEY4dTmtCx,fsq_AVlkbb_hUKUEY4dTmsEk,fsq_AVlkHjFWUKUEY4dTmY82,fsq_AVlkbb_EUKUEY4dTmsEi,fsq_AVlkbhyvUKUEY4dTmsHg,fsq_AVlkhwGHUKUEY4dTmx6v
tweetsAVnqndX5McVkNEbR2Dnn,tweetsAVm839OAMcVkNEbRx63B,fsq_AVlkZx0QUKUEY4dTmqdp,fsq_AVlkHmrZUKUEY4dTmY-s,fsq_AVlkh2CbUKUEY4dTmyA2,fsq_AVlkV7wTUKUEY4dTmmEC,fsq_AVlkgFHXUKUEY4dTmwHw,fsq_AVlkVkO8UKUEY4dTmlru,fsq_AVlkTIeQUKUEY4dTmj69,fsq_AVlkgB21UKUEY4dTmwFn
