tweets_Paris__France_30,tweets_Paris__France_28,foursquare_Paris__France_04,foursquare_Paris__France_08,foursquare_Paris__France_14,foursquare_Paris__France_16,foursquare_Paris__France_17,foursquare_Paris__France_25,foursquare_Paris__France_28,foursquare_Paris__France_29,foursquare_Paris__France_31
tweetsAVmYsIsvMcVkNEbRtjOx,tweetsAVl7jjarMcVkNEbRrwi7,fsq_AVl8m8upUKUEY4dTngOh,fsq_AVlu-Y4rUKUEY4dTm-er,fsq_AVluhNdXUKUEY4dTm91j,fsq_AVmJQtiaSAjC-p3JnEYM,fsq_AVl4pcTAUKUEY4dTnS5g,fsq_AVlwR-SZUKUEY4dTnA1g,fsq_AVlrjbIxUKUEY4dTm6ET,fsq_AVlz8eHBUKUEY4dTnHPw,fsq_AVlybCaDUKUEY4dTnEgy
tweetsAVl7FbtKMcVkNEbRregp,tweetsAVnrO5BmMcVkNEbR3ePc,fsq_AVl8_Dq5UKUEY4dTnhbr,fsq_AVl9Dgy7UKUEY4dTniA6,fsq_AVlrpr6rUKUEY4dTm6PM,fsq_AVlwS0IKUKUEY4dTnBBA,fsq_AVl1yJ3iUKUEY4dTnMgg,fsq_AVl1ZNpfUKUEY4dTnLaV,fsq_AVl6DMYNUKUEY4dTnW7A,fsq_AVlyeVdOUKUEY4dTnEvO,fsq_AVlu-kmUUKUEY4dTm-g-
tweetsAVkuTXGrMcVkNEbRk_Tj,tweetsAVllfAjVMcVkNEbRpp8X,fsq_AVlwR1ytUKUEY4dTnApK,fsq_AVloKsljUKUEY4dTm3K8,fsq_AVlqiN2YUKUEY4dTm5ML,fsq_AVl38j4nUKUEY4dTnRmW,fsq_AVl38DZdUKUEY4dTnRlc,fsq_AVl1ZNpXUKUEY4dTnLaU,fsq_AVlwR-QDUKUEY4dTnA1G,fsq_AVlz8EjEUKUEY4dTnHMU,fsq_AVl4nWF2UKUEY4dTnS1y
tweetsAVnqx2HzMcVkNEbR2jvL,tweetsAVlle1S6McVkNEbRppzM,fsq_AVluZ-yRUKUEY4dTm9io,fsq_AVl11IbEUKUEY4dTnMtx,fsq_AVlufn37UKUEY4dTm9vB,fsq_AVlsZAx4UKUEY4dTm7Ae,fsq_AVlw_DOhUKUEY4dTnCJn,fsq_AVl2bhg_UKUEY4dTnNqL,fsq_AVlyFLcoUKUEY4dTnEBP,fsq_AVlsYySFUKUEY4dTm631,fsq_AVl0payLUKUEY4dTnJTa
tweetsAVkuTTPUMcVkNEbRk_EN,tweetsAVlle1S6McVkNEbRppzL,fsq_AVlziKirUKUEY4dTnGPZ,fsq_AVlz_BzkUKUEY4dTnHlF,fsq_AVlxGEr5UKUEY4dTnCXw,fsq_AVlxCu5gUKUEY4dTnCSP,fsq_AVl5cIs9UKUEY4dTnVMS,fsq_AVly0Do5UKUEY4dTnFEE,fsq_AVlv78HpUKUEY4dTm_yM,fsq_AVlyHEreUKUEY4dTnEFJ,fsq_AVl8JMPBUKUEY4dTneep
tweetsAVkuTTPUMcVkNEbRk_Ef,tweetsAVkuxbgOMcVkNEbRlk7t,fsq_AVluYvV-UKUEY4dTm9eF,fsq_AVlz_B0BUKUEY4dTnHlJ,fsq_AVl26aNvUKUEY4dTnPRg,fsq_AVluC0iSUKUEY4dTm8yt,fsq_AVl4qumeUKUEY4dTnS7C,fsq_AVlsD-TeUKUEY4dTm6o0,fsq_AVl0u5llUKUEY4dTnJsA,fsq_AVlzQppcUKUEY4dTnF_Y,fsq_AVlufjL8UKUEY4dTm9u1
tweetsAVkuTNqGMcVkNEbRk-3M,tweetsAVlle1GGMcVkNEbRppuZ,fsq_AVl1BdtHUKUEY4dTnKQe,fsq_AVlokDhfUKUEY4dTm3mp,fsq_AVl1yJ3wUKUEY4dTnMgi,fsq_AVl0oWmzUKUEY4dTnJIP,fsq_AVl1AOaLUKUEY4dTnKIH,fsq_AVlwR9WmUKUEY4dTnAwr,fsq_AVlzLM7rUKUEY4dTnFqD,fsq_AVlyeVdWUKUEY4dTnEvP,fsq_AVlxCsNAUKUEY4dTnCRr
tweetsAVkuTTPUMcVkNEbRk_Ei,tweetsAVlle1GGMcVkNEbRppuO,fsq_AVlvQx4nUKUEY4dTm-sm,fsq_AVlz_Bz5UKUEY4dTnHlI,fsq_AVl6fEtBUKUEY4dTnYJj,fsq_AVlsY4a-UKUEY4dTm69B,fsq_AVlr8sCgUKUEY4dTm6ay,fsq_AVlwR9YXUKUEY4dTnAw6,fsq_AVl1vICwUKUEY4dTnMRX,fsq_AVl7eq7BUKUEY4dTna_Y,fsq_AVlyJ6e_UKUEY4dTnETf
tweetsAVkuTTPUMcVkNEbRk_Eq,tweetsAVmYvN-_McVkNEbRtqFe,fsq_AVlvR6QTUKUEY4dTm-y1,fsq_AVl7JBjrUKUEY4dTnaIi,fsq_AVmAJmq3UKUEY4dTnmZw,fsq_AVl9BwlVUKUEY4dTnh5D,fsq_AVlwR9cAUKUEY4dTnAxY,fsq_AVlmnsR0UKUEY4dTm2h_,fsq_AVl5sGywUKUEY4dTnWET,fsq_AVmINQEFSAjC-p3JnBx9,fsq_AVlrPWbOUKUEY4dTm508
